salary_id,employee_id,effective_date,monthly_salary,reason
1,2001,2024-03-23,139971,Adjustment
2,2001,2023-12-31,126724,Annual Review
3,2002,2022-07-31,115565,Hire
4,2002,2021-08-19,84574,Hire
5,2003,2024-06-23,65066,Hire
6,2003,2024-09-29,175017,Annual Review
7,2003,2024-12-23,64418,Annual Review
8,2004,2024-05-15,147158,Annual Review
9,2004,2024-08-07,121257,Adjustment
10,2004,2023-02-25,165538,Promotion
11,2005,2021-12-08,84635,Hire
12,2006,2022-11-04,148023,Hire
13,2006,2024-02-22,134837,Promotion
14,2006,2022-03-18,52404,Hire
15,2007,2021-05-31,48156,Annual Review
16,2007,2021-01-02,84999,Annual Review
17,2008,2020-12-30,49694,Adjustment
18,2008,2021-10-09,104549,Annual Review
19,2009,2022-08-05,67799,Annual Review
20,2009,2022-09-15,125288,Adjustment
21,2009,2024-08-13,177228,Annual Review
22,2010,2023-09-17,75645,Promotion
23,2011,2022-11-11,112614,Promotion
24,2011,2024-02-23,168387,Annual Review
25,2011,2024-07-17,133369,Hire
26,2012,2023-07-19,53312,Hire
27,2013,2020-12-13,81972,Adjustment
28,2013,2023-04-27,98294,Hire
29,2014,2024-02-11,155135,Hire
30,2014,2025-10-06,117504,Annual Review
31,2015,2023-11-24,156373,Promotion
32,2015,2025-12-16,105780,Promotion
33,2015,2025-01-24,141458,Hire
34,2016,2019-10-02,98620,Annual Review
35,2017,2021-05-07,119124,Hire
36,2017,2020-05-15,79590,Annual Review
37,2017,2021-12-13,135196,Hire
38,2018,2024-08-13,176693,Adjustment
39,2018,2024-06-10,152781,Annual Review
40,2018,2022-10-01,35973,Adjustment
41,2019,2025-10-25,93786,Hire
42,2020,2022-05-21,156403,Promotion
43,2020,2021-07-02,69245,Promotion
44,2021,2023-09-09,60346,Annual Review
45,2021,2022-07-29,140633,Promotion
46,2022,2020-11-05,125417,Annual Review
47,2023,2031-11-07,111942,Annual Review
48,2023,2030-08-13,140147,Annual Review
49,2024,2022-09-05,83063,Annual Review
50,2025,2020-09-22,165017,Annual Review
51,2026,2022-06-15,177003,Hire
52,2026,2022-12-31,173774,Hire
53,2027,2021-11-05,92450,Annual Review
54,2027,2021-05-14,100252,Hire
55,2027,2023-07-20,81904,Annual Review
56,2028,2023-03-18,66000,Promotion
57,2029,2020-12-19,37599,Hire
58,2029,2019-05-16,122636,Annual Review
59,2030,2026-02-07,35018,Annual Review
60,2030,2024-12-30,166930,Promotion
61,2031,2022-08-25,105916,Promotion
62,2032,2026-07-29,154193,Hire
63,2033,2026-06-16,72487,Hire
64,2033,2026-05-02,179015,Hire
65,2033,2024-08-28,137342,Adjustment
66,2034,2023-11-24,53836,Annual Review
67,2034,2024-11-15,136150,Annual Review
68,2035,2025-09-02,46394,Hire
69,2036,2020-08-07,159660,Annual Review
70,2036,2021-03-24,145599,Hire
71,2036,2019-10-05,60280,Annual Review
72,2037,2023-10-12,112318,Hire
73,2037,2022-05-24,167231,Hire
74,2038,2020-08-17,87712,Hire
75,2038,2020-09-12,144578,Hire
76,2038,2022-10-09,172661,Annual Review
77,2039,2022-11-16,58233,Annual Review
78,2039,2023-02-17,43177,Hire
79,2040,2024-02-23,149506,Hire
80,2041,2021-05-29,96351,Promotion
81,2041,2020-09-02,126908,Hire
82,2041,2020-12-18,86827,Adjustment
83,2042,2021-11-10,115501,Promotion
84,2043,2020-11-10,50611,Adjustment
85,2044,2026-07-06,76003,Promotion
86,2044,2026-03-30,177412,Annual Review
87,2044,2025-03-05,131629,Hire
88,2045,2018-12-23,143610,Promotion
89,2046,2020-08-04,118035,Hire
90,2047,2023-01-07,144322,Adjustment
91,2047,2023-03-31,89515,Annual Review
92,2048,2021-02-09,144446,Annual Review
93,2049,2025-02-12,94789,Hire
94,2050,2019-04-08,67191,Adjustment
95,2050,2019-12-14,94488,Annual Review
96,2050,2019-10-17,122457,Hire
97,2051,2021-06-10,137476,Promotion
98,2052,2023-11-23,109525,Annual Review
99,2053,2020-02-07,48740,Promotion
100,2054,2020-11-16,179174,Adjustment
101,2055,2018-06-06,164677,Promotion
102,2055,2020-05-22,148917,Hire
