event_id,employee_id,attrition_date,attrition_reason,exit_interview_score,attrition_year
1,2003,2023-09-22,Career change,4.0,2023
2,2013,2021-02-21,Relocation,3.0,2021
3,2025,2022-03-08,Retirement,4.0,2022
4,2027,2024-01-28,Retirement,1.0,2024
5,2028,2023-12-14,Retirement,2.0,2023
6,2029,2020-08-24,Career change,2.0,2020
7,2031,2024-06-20,Management issues,5.0,2024
8,2042,2021-07-11,Relocation,1.0,2021
9,2045,2018-12-15,Better offer,3.0,2018
10,2048,2022-08-13,Work-life balance,4.0,2022
11,2049,2023-12-29,Management issues,4.0,2023
12,2052,2023-04-07,Management issues,2.0,2023
13,2058,2018-09-28,Management issues,1.0,2018
14,2064,2019-10-12,Management issues,3.0,2019
15,2065,2024-12-20,Retirement,4.0,2024
16,2069,2024-01-26,Management issues,1.0,2024
17,2071,2023-03-07,Management issues,3.0,2023
18,2076,2024-10-24,Retirement,2.0,2024
19,2096,2020-11-03,Management issues,5.0,2020
20,2102,2018-06-17,Relocation,4.0,2018
21,2108,2019-07-14,Work-life balance,3.0,2019
22,2109,2023-10-01,Retirement,4.0,2023
23,2111,2022-06-07,Work-life balance,3.0,2022
24,2116,2022-08-24,Better offer,5.0,2022
25,2117,2024-12-23,Management issues,3.0,2024
26,2118,2021-03-08,Work-life balance,1.0,2021
27,2125,2018-12-31,Better offer,2.0,2018
28,2126,2024-07-28,Work-life balance,3.0,2024
29,2136,2020-07-05,Retirement,1.0,2020
30,2138,2019-04-05,Management issues,3.0,2019
31,2147,2024-04-16,Work-life balance,4.0,2024
32,2149,2021-01-31,Better offer,4.0,2021
33,2151,2022-05-14,Management issues,1.0,2022
34,2152,2023-01-24,Career change,3.0,2023
35,2159,2024-12-18,Better offer,2.0,2024
36,2160,2024-07-05,Management issues,3.0,2024
37,2167,2021-07-19,Retirement,2.0,2021
38,2181,2023-11-11,Relocation,3.0,2023
39,2183,2022-07-12,Career change,2.0,2022
40,2205,2022-10-21,Better offer,3.0,2022
41,2220,2023-05-11,Relocation,1.0,2023
42,2245,2020-11-22,Relocation,5.0,2020
43,2250,2024-04-16,Relocation,3.0,2024
44,2255,2020-02-27,Better offer,3.0,2020
45,2256,2024-06-06,Better offer,1.0,2024
46,2263,2024-06-23,Management issues,4.0,2024
47,2267,2024-01-23,Work-life balance,4.0,2024
48,2271,2021-12-25,Management issues,2.0,2021
49,2272,2021-08-02,Career change,4.0,2021
50,2280,2024-05-05,Work-life balance,5.0,2024
51,2284,2022-10-27,Relocation,3.0,2022
52,2290,2024-02-04,Career change,2.0,2024
53,2291,2022-04-16,Relocation,3.0,2022
54,2292,2023-01-28,Management issues,3.0,2023
55,2294,2021-11-20,Management issues,1.0,2021
56,2295,2023-12-19,Career change,4.0,2023
57,2296,2022-07-29,Better offer,3.0,2022
58,2300,2020-03-09,Relocation,5.0,2020
59,2303,2023-10-15,Relocation,5.0,2023
60,2306,2021-05-22,Career change,4.0,2021
61,2307,2022-09-03,Management issues,4.0,2022
62,2309,2023-12-07,Relocation,2.0,2023
63,2316,2024-03-19,Work-life balance,2.0,2024
64,2318,2019-10-15,Management issues,2.0,2019
65,2321,2020-03-16,Management issues,4.0,2020
66,2322,2019-03-20,Better offer,3.0,2019
67,2327,2021-05-29,Management issues,1.0,2021
68,2338,2024-09-20,Relocation,2.0,2024
69,2339,2021-09-11,Work-life balance,1.0,2021
70,2342,2024-05-29,Management issues,5.0,2024
71,2351,2022-06-27,Better offer,4.0,2022
72,2354,2022-11-08,Career change,5.0,2022
73,2357,2020-02-10,Better offer,3.0,2020
74,2360,2021-02-20,Relocation,2.0,2021
75,2363,2023-04-24,Retirement,3.0,2023
76,2364,2024-07-31,Work-life balance,2.0,2024
77,2365,2020-07-03,Relocation,1.0,2020
78,2376,2019-10-12,Better offer,2.0,2019
79,2379,2020-01-13,Career change,3.0,2020
80,2383,2023-02-18,Management issues,3.0,2023
81,2386,2020-07-27,Work-life balance,3.0,2020
82,2387,2024-11-14,Career change,3.0,2024
83,2389,2020-10-12,Relocation,3.0,2020
84,2390,2021-04-02,Relocation,4.0,2021
85,2395,2024-01-01,Better offer,4.0,2024
86,2397,2023-02-12,Better offer,3.0,2023
87,2402,2024-12-09,Relocation,3.0,2024
88,2406,2024-05-04,Work-life balance,1.0,2024
89,2407,2023-11-29,Retirement,2.0,2023
90,2423,2020-04-23,Relocation,4.0,2020
91,2425,2023-07-06,Retirement,1.0,2023
92,2433,2020-06-20,Relocation,2.0,2020
93,2444,2020-03-07,Better offer,4.0,2020
94,2445,2022-12-08,Better offer,1.0,2022
95,2446,2024-01-19,Retirement,3.0,2024
96,2452,2021-05-05,Retirement,5.0,2021
97,2463,2019-10-28,Management issues,5.0,2019
98,2466,2024-10-20,Retirement,4.0,2024
99,2470,2022-06-09,Retirement,1.0,2022
100,2475,2018-06-18,Work-life balance,2.0,2018
101,2480,2023-08-10,Better offer,3.0,2023
102,2481,2023-05-31,Management issues,2.0,2023
103,2483,2022-10-07,Retirement,1.0,2022
104,2485,2023-07-01,Management issues,5.0,2023
105,2491,2024-10-20,Retirement,1.0,2024
106,2492,2021-12-28,Retirement,5.0,2021
107,2495,2022-01-23,Work-life balance,5.0,2022
108,2504,2020-12-02,Relocation,3.0,2020
109,2517,2022-12-17,Career change,2.0,2022
110,2521,2024-05-05,Retirement,4.0,2024
111,2529,2023-10-31,Better offer,3.0,2023
112,2533,2023-08-17,Career change,1.0,2023
113,2535,2018-05-02,Management issues,5.0,2018
114,2539,2022-12-11,Relocation,1.0,2022
115,2545,2024-11-16,Retirement,4.0,2024
116,2553,2024-05-08,Management issues,4.0,2024
117,2559,2023-08-13,Career change,3.0,2023
118,2561,2024-10-29,Better offer,3.0,2024
119,2564,2024-02-14,Career change,5.0,2024
120,2565,2024-04-16,Better offer,3.0,2024
121,2566,2022-09-21,Career change,5.0,2022
122,2572,2020-06-30,Management issues,2.0,2020
123,2574,2024-06-01,Career change,5.0,2024
124,2579,2024-10-16,Career change,3.0,2024
125,2584,2020-02-12,Retirement,1.0,2020
126,2587,2021-11-12,Retirement,3.0,2021
127,2589,2024-08-12,Work-life balance,3.0,2024
128,2592,2022-01-11,Relocation,4.0,2022
129,2593,2022-06-02,Management issues,3.0,2022
130,2596,2021-02-08,Work-life balance,3.0,2021
131,2602,2022-09-24,Better offer,2.0,2022
132,2604,2024-12-10,Work-life balance,5.0,2024
133,2614,2020-01-28,Management issues,4.0,2020
